sub,age,gender
1001,37,Male
1002,22,Female
1003,25,Male
1004,37,Male
1005,41,Female
1006,31,Male
1007,26,Female
1008,33,Male
1009,39,Female
1010,22,Male
1011,44,Male
1012,46,Male
1013,44,Female
1014,37,Male
1015,22,Female
1016,44,Male
1017,28,Male
1018,34,Male
1019,18,Male
1020,37,Male
1021,30,Male
1022,28,Female
1023,64,Male
1024,36,Female
1025,30,Male
1026,43,Male
1027,34,Male
1028,33,Male
1029,36,Male
1030,47,Male
1031,32,Male
1032,29,Male
1033,35,Male
1034,33,Non-binary
1035,22,Male
1036,41,Male
1037,29,Male
1038,36,Female
1039,29,Female
1040,24,Male
1041,39,Male
1042,27,Male
1043,29,Male
1044,47,Prefernottosay
1045,26,Female
1046,28,Male
1047,20,Male
1048,33,Male
1049,26,Male
1050,28,Male
1051,31,Male
1052,21,Male
1053,49,Female
1054,29,Male
1055,54,Male
1056,46,Male
1057,44,Male
1058,24,Female
1059,29,Male
1060,26,Male
1061,20,Male
1062,30,Male
1063,33,Male
1064,21,Male
1065,19,Male
1066,24,Male
1067,30,Male
1068,23,Male
1069,36,Male
1070,30,Male
1071,28,Male
1072,36,Male
1073,32,Female
1074,33,Male
1075,24,Male
1076,37,Male
1077,25,Female
1078,32,Male
1079,29,Male
1080,43,Male
1081,37,Male
1082,59,Male
1083,31,Male
1084,24,Male
1085,35,Female
1086,39,Female
1087,21,Male
1088,23,Male
1089,24,Non-binary
1090,20,Male
1091,33,Female
1092,19,Male
1093,21,Male
1094,22,Male
1095,35,Male
1096,50,Female
1097,27,Male
1098,34,Male
1099,40,Male
1100,23,Male
3001,38,Female
3002,23,Male
3003,26,Male
3004,28,Male
3005,46,Male
3006,47,Male
3007,27,Male
3008,38,Female
3009,36,Female
3010,39,Male
3011,24,Female
3012,30,Male
3013,53,Male
3014,56,Male
3015,24,Male
3016,43,Male
3017,24,Male
3018,28,Male
3019,27,Male
3020,26,Male
3021,21,Female
3022,35,Female
3023,63,Male
3024,58,Female
3025,34,Male
3026,26,Male
3027,56,Female
3028,28,Male
3029,28,Male
3030,33,Male
3031,58,Female
3032,22,Female
3033,26,Male
3034,39,Male
3035,18,Male
3036,30,Male
3037,24,Female
3038,21,Male
3039,31,Male
3040,25,Male
3041,54,Female
3042,24,Female
3043,30,Female
3044,37,Male
3045,45,Male
3046,34,Male
3047,47,Male
3048,25,Male
3049,31,Male
3050,23,Male
3051,36,Male
3052,67,Female
3053,42,Female
3054,28,Male
3055,24,Male
3056,72,Female
3057,42,Male
3058,24,Male
3059,41,Male
3060,32,Male
3061,32,Male
3062,20,Male
3063,23,Male
3064,28,Male
3065,18,Male
3066,34,Male
3067,32,Female
3068,31,Male
3069,32,Female
3070,28,Female
3071,30,Male
3072,29,Male
3073,34,Male
3074,39,Male
3075,43,Male
3076,40,Male
3077,26,Male
3078,24,Male
3079,49,Female
3080,53,Male
3081,18,Male
3082,37,Male
3083,35,Male
3084,22,Male
3085,47,Male
3086,28,Male
3087,23,Male
3088,21,Female
3089,37,Male
3090,36,Female
3091,51,Male
3092,39,Female
3093,31,Female
3094,33,Male
3095,56,Male
3096,18,Male
3097,31,Male
3098,21,Female
3099,22,Female
3100,23,Male
3101,20,Male
3102,23,Male
